DTYYYYMMDD,Ticker,Open,High,Low,Close,Volume,Outlier
2018-10-17,VN30F1M,953.0,953.0,942.3,945.5,93709.0,False
2018-10-18,VN30F1M,941.0,941.9,936.3,937.6,62813.0,False
2018-10-19,VN30F1M,922.0,932.9,919.3,932.2,116399.0,False
2018-10-22,VN30F1M,935.2,937.2,920.5,921.5,102024.0,False
2018-10-23,VN30F1M,912.0,914.7,890.2,901.0,136594.0,False
2018-10-24,VN30F1M,909.0,910.8,885.0,885.0,161827.0,False
2018-10-25,VN30F1M,860.0,888.0,856.0,886.5,184367.0,False
2018-10-26,VN30F1M,892.5,894.1,870.0,870.0,191779.0,False
2018-10-29,VN30F1M,875.0,881.0,868.3,878.0,191419.0,False
2018-10-30,VN30F1M,875.5,881.5,872.5,876.0,159289.0,False
2018-10-31,VN30F1M,884.0,904.0,882.6,904.0,118224.0,False
2018-11-01,VN30F1M,904.3,904.9,876.5,884.0,178898.0,False
2018-11-02,VN30F1M,893.5,910.0,891.2,906.5,175235.0,False
2018-11-05,VN30F1M,896.4,904.0,889.0,899.0,158585.0,False
2018-11-06,VN30F1M,905.0,906.5,894.0,894.0,161568.0,False
2018-11-07,VN30F1M,896.5,899.5,885.3,894.8,162816.0,False
2018-11-08,VN30F1M,906.0,906.9,893.6,893.6,119033.0,False
2018-11-09,VN30F1M,893.0,893.8,880.0,880.0,132579.0,False
2018-11-12,VN30F1M,879.0,887.9,875.0,885.0,127313.0,False
2018-11-13,VN30F1M,867.1,878.1,866.8,872.8,138814.0,False
2018-11-14,VN30F1M,870.4,875.9,864.5,871.0,117102.0,False
2018-11-15,VN30F1M,864.1,869.1,863.0,866.8,67895.0,False
2018-11-16,VN30F1M,868.1,874.9,867.6,870.0,121319.0,False
2018-11-19,VN30F1M,873.0,881.0,872.1,881.0,89525.0,False
2018-11-20,VN30F1M,878.8,883.7,876.5,881.3,117888.0,False
2018-11-21,VN30F1M,876.0,895.0,875.1,895.0,114488.0,False
2018-11-22,VN30F1M,892.8,896.8,889.5,892.0,114410.0,False
2018-11-23,VN30F1M,892.2,892.8,886.0,886.8,98860.0,False
2018-11-26,VN30F1M,887.9,891.0,882.8,890.4,102089.0,False
2018-11-27,VN30F1M,890.5,893.9,884.4,884.4,103148.0,False
2018-11-28,VN30F1M,886.1,891.6,884.1,890.3,105558.0,False
2018-11-29,VN30F1M,897.0,897.9,885.2,885.2,102906.0,False
2018-11-30,VN30F1M,886.2,889.9,880.5,887.5,124714.0,False
2018-12-03,VN30F1M,896.7,915.7,896.3,915.0,105875.0,False
2018-12-04,VN30F1M,912.5,917.8,904.0,912.8,144157.0,False
2018-12-05,VN30F1M,906.2,919.4,905.4,915.5,157723.0,False
2018-12-06,VN30F1M,912.0,914.5,902.6,909.0,143614.0,False
2018-12-07,VN30F1M,913.0,920.4,912.5,914.1,125888.0,False
2018-12-10,VN30F1M,911.0,914.4,908.4,913.9,116921.0,False
2018-12-11,VN30F1M,916.5,916.7,909.5,914.1,117500.0,False
2018-12-12,VN30F1M,917.0,923.0,916.5,920.8,96037.0,False
2018-12-13,VN30F1M,922.8,926.0,921.0,923.9,92408.0,False
2018-12-14,VN30F1M,921.5,922.3,913.1,913.1,82231.0,False
2018-12-17,VN30F1M,912.0,912.5,897.0,897.0,101062.0,False
