Ticker	DTYYYYMMDD	Open	High	Low	Close	Volume
HNX:VN301!	20220311	1486.7	1487.5	1471.1	1476.0	154986.0
HNX:VN301!	20220314	1475.2	1476.0	1456.0	1463.4	157699.0
HNX:VN301!	20220315	1462.1	1469.7	1457.9	1464.5	146815.0
HNX:VN301!	20220316	1471.0	1475.1	1465.2	1471.8	119620.0
HNX:VN301!	20220317	1477.5	1478.8	1468.0	1472.2	113309.0
HNX:VN301!	20220321	1479.7	1496.1	1479.1	1494.9	109890.0
HNX:VN301!	20220322	1498.1	1505.5	1494.0	1500.0	116675.0
HNX:VN301!	20220323	1502.7	1510.2	1494.8	1497.2	135207.0
HNX:VN301!	20220324	1495.5	1499.5	1491.0	1494.0	123052.0
HNX:VN301!	20220325	1497.1	1497.1	1488.0	1494.0	118347.0
HNX:VN301!	20220328	1489.1	1490.8	1475.5	1483.5	122542.0
HNX:VN301!	20220329	1485.5	1493.5	1484.5	1493.4	100343.0
HNX:VN301!	20220330	1489.4	1503.9	1486.1	1489.8	165435.0
HNX:VN301!	20220331	1492.0	1499.4	1490.0	1496.0	92519.0
HNX:VN301!	20220401	1493.0	1528.0	1492.2	1525.0	157870.0
HNX:VN301!	20220404	1529.4	1537.3	1526.6	1528.4	103234.0
HNX:VN301!	20220405	1526.9	1532.7	1523.5	1525.3	105702.0
HNX:VN301!	20220406	1519.0	1550.6	1517.8	1540.3	189989.0
HNX:VN301!	20220407	1543.0	1544.5	1529.4	1529.8	145311.0
HNX:VN301!	20220408	1528.4	1535.3	1523.9	1523.9	135137.0
HNX:VN301!	20220412	1525.9	1526.6	1507.2	1509.4	168130.0
HNX:VN301!	20220413	1511.4	1521.2	1511.3	1519.7	133661.0
HNX:VN301!	20220414	1522.2	1524.6	1509.0	1512.5	128856.0
HNX:VN301!	20220415	1511.8	1517.4	1492.6	1492.6	168960.0
HNX:VN301!	20220418	1494.8	1494.8	1473.1	1479.0	2584.0
HNX:VN301!	20220419	1479.0	1484.0	1455.0	1457.8	12304.0
HNX:VN301!	20220420	1462.0	1462.0	1433.0	1439.0	14907.0
HNX:VN301!	20220421	1444.9	1455.7	1432.0	1450.0	26273.0
HNX:VN301!	20220422	1442.3	1459.8	1434.7	1445.0	226792.0
HNX:VN301!	20220425	1442.9	1445.6	1345.3	1353.1	283121.0
HNX:VN301!	20220426	1356.1	1393.2	1327.1	1391.0	393901.0
HNX:VN301!	20220427	1379.0	1406.0	1358.1	1401.0	311802.0
HNX:VN301!	20220428	1399.7	1406.7	1388.0	1392.0	256204.0
HNX:VN301!	20220429	1395.0	1421.6	1389.6	1409.0	247602.0
HNX:VN301!	20220504	1408.3	1410.0	1383.0	1383.0	212170.0
HNX:VN301!	20220505	1392.0	1403.6	1372.6	1402.5	231376.0
HNX:VN301!	20220506	1382.0	1396.3	1358.8	1362.0	301422.0
HNX:VN301!	20220509	1353.7	1355.8	1300.0	1308.1	328581.0
HNX:VN301!	20220510	1299.8	1340.9	1291.1	1335.0	361688.0
HNX:VN301!	20220511	1335.0	1349.0	1318.2	1337.0	297741.0
HNX:VN301!	20220512	1334.0	1334.0	1262.0	1270.0	346875.0
HNX:VN301!	20220513	1272.0	1288.1	1214.7	1225.0	438129.0
HNX:VN301!	20220516	1240.0	1261.9	1212.0	1212.0	354554.0
HNX:VN301!	20220517	1220.0	1283.0	1204.3	1280.9	364556.0
HNX:VN301!	20220518	1280.9	1304.8	1265.3	1281.0	411644.0
HNX:VN301!	20220519	1255.0	1292.9	1251.7	1283.0	309742.0
HNX:VN301!	20220520	1283.0	1299.2	1259.8	1276.8	317137.0
HNX:VN301!	20220523	1289.0	1289.0	1238.1	1253.1	324795.0
HNX:VN301!	20220524	1253.0	1271.1	1234.0	1267.0	389720.0
HNX:VN301!	20220525	1275.0	1306.0	1268.5	1299.3	318793.0
HNX:VN301!	20220526	1302.0	1310.5	1292.1	1300.9	279405.0
HNX:VN301!	20220527	1306.1	1328.8	1305.1	1322.5	255713.0
HNX:VN301!	20220530	1329.7	1331.0	1319.6	1325.6	204143.0
HNX:VN301!	20220531	1326.2	1326.8	1310.5	1320.5	225070.0
HNX:VN301!	20220601	1318.5	1337.5	1316.0	1326.0	326533.0
HNX:VN301!	20220602	1311.0	1330.0	1311.0	1315.0	253099.0
HNX:VN301!	20220603	1318.0	1323.9	1305.6	1318.5	233565.0
HNX:VN301!	20220606	1320.7	1332.0	1315.0	1315.0	224785.0
HNX:VN301!	20220607	1315.0	1315.5	1293.3	1315.0	278664.0
HNX:VN301!	20220608	1321.0	1342.0	1319.8	1333.0	267430.0
HNX:VN301!	20220609	1332.4	1339.0	1327.0	1335.3	264559.0
HNX:VN301!	20220610	1328.0	1333.8	1311.1	1311.1	232693.0
HNX:VN301!	20220613	1284.0	1289.9	1257.4	1260.2	332829.0
HNX:VN301!	20220614	1254.8	1272.5	1250.0	1268.3	353777.0
HNX:VN301!	20220615	1268.0	1270.5	1235.3	1251.3	357051.0
HNX:VN301!	20220616	1261.0	1286.5	1260.7	1286.0	284892.0
HNX:VN301!	20220617	1247.5	1249.0	1215.2	1245.2	455234.0
HNX:VN301!	20220620	1244.8	1249.4	1212.0	1212.0	405214.0
HNX:VN301!	20220621	1216.8	1240.0	1210.5	1228.0	504864.0
HNX:VN301!	20220622	1233.7	1240.9	1216.0	1216.0	404908.0
HNX:VN301!	20220623	1222.0	1230.3	1216.3	1227.8	337136.0
HNX:VN301!	20220624	1236.0	1237.9	1226.0	1227.0	244016.0
HNX:VN301!	20220627	1236.0	1247.9	1234.0	1247.9	219072.0
HNX:VN301!	20220628	1246.0	1266.5	1242.7	1261.0	259004.0
HNX:VN301!	20220629	1255.0	1262.9	1251.1	1260.5	290695.0
HNX:VN301!	20220630	1262.0	1264.8	1240.1	1240.1	256951.0
